CustomerID,Name,Gender,Age,SignupDate,City,Country,Email,AnnualIncome,PurchaseAmount,LoyaltyTier
CUST-00701,Richard Lopez,male,17.0,04/17/2021,New York,USA,richard.lopez701@example.com,"$35,200.79",190.69,Silver
 CUST-00334 ,Susan Taylor, Female,27.0,26/11/2023,Houston,Australia,susan.taylor334@example.com,"$83,591.84",101.62,BRONZE
1157,Robert Moore, Female,40.0,12/10/2024,Chicago,United Kingdom,robert.moore1157@example.com,"$41,150.81",166.04,gold
CUST-00311,Nancy Martin,F,32.0,,San Diego,Australia,nancy.martin311@example.com,"$68,152.04",131.93,gold
105,Matthew Martinez,Female,47.0,2023-07-22,Houston,USA,matthew.martinez105@example.com,"$86,794.76",198.37,BRONZE
2559,Charles Martinez,MALE,52.0,02/11/2023,Los Angeles,USA,charles.martinez2559@example.com,"$68,511.36",176.42,gold
 CUST-02473 ,Linda Hernandez,female,0.0,12/31/2021,los angeles,Australia,linda.hernandez2473@example.com,"$94,944.76",218.86,BRONZE
CUST-01520,Elizabeth Williams,f ,20.0,12/09/2021,Dallas,Canada,elizabeth.williams1520@example.com,"$75,810.93",67.15,Gold
CUST-01782,Daniel Jones,male,39.0,"February 28, 2024",San Antonio,United Kingdom,daniel.jones1782@example.com,"$79,491.53",132.25,BRONZE
 CUST-02310 ,James Davis,f ,29.0,2022-12-12,  Philadelphia  ,Canada,james.davis2310@example.com,"$66,136.46",105.59,bronze
 CUST-02122 ,Sarah Lopez,F,55.0,21/04/2021,Philadelphia,Canada,sarah.lopez2122@example.com,"$69,161.19",250.01,Bronze
CUST-00596,Nancy Rodriguez,female,40.0,01-Nov-2023,  San Antonio  ,Canada,nancy.rodriguez596@example.com,"$52,391.46",27.2,GOLD
 CUST-01080 ,Nancy Taylor,FEMALE,29.0,2024-08-19,San Antonio,Australia,nancy.taylor1080@example.com,"$60,382.37",95.64,BRONZE
CUST-00662,Sarah Martin, Male,40.0,31-Dec-2023,PHOENIX,United Kingdom,sarah.martin662@example.com,"$68,322.66",57.75,BRONZE
 CUST-00485 ,William Anderson,male,36.0,02-Mar-2023,San Antonio,Canada,william.anderson485@example.com,"$78,843.25",194.01,GOLD
 CUST-01698 ,William Williams, Female,16.0,06/13/2023,CHICAGO,Canada,william.williams1698@example.com,"$54,815.23",188.43,BRONZE
 CUST-02698 ,Robert Taylor,male,16.0,11/01/2021,San Antonio,United Kingdom,robert.taylor2698@example.com,"$88,616.73",121.32,gold
CUST-00181,William Garcia, Male,34.0,02-Mar-2022,  Austin  ,Canada,william.garcia181@example.com,"$67,421.48",162.12,Bronze
1507,Lisa Hernandez,F,57.0,"August 01, 2024",Phoenix,Canada,lisa.hernandez1507@example.com,"$70,510.23",217.72,silver
CUST-00631,Robert Wilson, Male,46.0,04/22/2023,Philadelphia,USA,robert.wilson631@example.com,"$55,222.15",38.82,Bronze
CUST-01960,Nancy Smith, Female,30.0,14-Feb-2023,Phoenix,USA,nancy.smith1960@example.com,"$56,011.96",124.96,
CUST-01970,Jessica Martinez, Male,37.0,11/24/2024,Chicago,United Kingdom,jessica.martinez1970@example.com,"$26,542.13",196.42,BRONZE
634,Jennifer Brown,M,44.0,2024-04-27,San Diego,Canada,jennifer.brown634@example.com,"$59,775.05",-179.97,Bronze
681,Daniel Gonzalez, Male,22.0,2023-09-08,Dallas,United Kingdom,daniel.gonzalez681@example.com,"$76,848.67",265.27,
CUST-02879,Sarah Martin,MALE,38.0,12/06/2021,chicago,Canada,sarah.martin2879@example.com,"$48,316.11",150.06,SILVER
CUST-01170,Linda Moore,Male,37.0,"July 02, 2023",Austin,USA,linda.moore1170@example.com,"$56,306.47",137.29,
 CUST-01519 ,Karen Miller,MALE,53.0,12/16/2022,  Los Angeles  ,USA,karen.miller1519@example.com,"$55,973.85",62.99,gold
CUST-02723,David Lopez, Male,61.0,2024-11-26,San Antonio,United Kingdom,david.lopez2723@example.com,"$71,149.06",20.98,
CUST-00618,Joseph Garcia,f ,27.0,"September 21, 2021",PHOENIX,United Kingdom,joseph.garcia618@example.com,"$39,082.20",188.44,Gold
 CUST-02043 ,Nancy Smith,FEMALE,53.0,09-Jan-2023,San Antonio,United Kingdom,nancy.smith2043@example.com,"$70,949.59",125.51,BRONZE
CUST-00942,Mary Miller,Female,53.0,17-Apr-2022,Austin,Australia,mary.miller942@example.com,"$64,473.05",85.22,Silver
CUST-01144,Jennifer Lopez,male,72.0,09/06/2024,San Diego,USA,jennifer.lopez1144@example.com,"$64,073.86",133.2,SILVER
CUST-00885,Jessica Gonzalez,F,47.0,"May 01, 2023",new york,Australia,jessica.gonzalez885@example.com,"$44,938.51",227.27,
 CUST-00806 ,Joseph Williams,MALE,31.0,"March 24, 2022",new york,Australia,joseph.williams806@example.com,"$57,198.90",124.69,silver
CUST-02161,Betty Jackson,f ,66.0,03/13/2023,PHILADELPHIA,Australia,betty.jackson2161@example.com,"$91,299.52",9.87,gold
 CUST-00488 ,Richard Taylor,FEMALE,16.0,2022-03-15,Houston,United Kingdom,richard.taylor488@example.com,"$21,501.55",183.76,Silver
CUST-01563,Thomas Lopez, Female,39.0,"August 30, 2023",Houston,Canada,thomas.lopez1563@example.com,"$104,129.73",196.58,Gold
 CUST-02036 ,Richard Taylor,other,53.0,"January 11, 2023",Austin,Australia,richard.taylor2036@example.com,"$44,526.68",164.78,Gold
CUST-00368,Jessica Jackson,Female,50.0,2023-07-10,Austin,United Kingdom,jessica.jackson368@example.com,"$66,077.11",120.01,Bronze
 CUST-01863 ,Jessica Williams,female,43.0,2022-08-03,LOS ANGELES,United Kingdom,jessica.williams1863@example.com,"$60,645.98",262.49,Silver
 CUST-00404 ,Lisa Williams,F,32.0,2022-04-19,los angeles,USA,lisa.williams404@example.com,"$83,409.82",129.22,Gold
 CUST-02112 ,Susan Hernandez, Female,42.0,12-Dec-2021,Chicago,United Kingdom,susan.hernandez2112@example.com,"$78,619.79",253.06,Gold
CUST-00211,Charles Martinez,f ,0.0,30-Apr-2024,  San Antonio  ,USA,charles.martinez211@example.com,"$78,092.81",83.45,Gold
CUST-01274,Matthew Moore,male,30.0,,Houston,USA,matthew.moore1274@example.com,"$62,900.18",122.23,SILVER
 CUST-00481 ,James Gonzalez,Other,,28/03/2021,SAN DIEGO,USA,james.gonzalez481@example.com,"$48,300.48",174.54,Gold
 CUST-01748 ,Thomas Jones,M,33.0,17-Nov-2022,San Antonio,United Kingdom,thomas.jones1748@example.com,"$90,626.97",50.92,BRONZE
99,Joseph Gonzalez,m ,61.0,2024-03-05,HOUSTON,Australia,joseph.gonzalez99@example.com,,1.99,Gold
CUST-00258,Elizabeth Thomas, Male,30.0,21-Dec-2022,Phoenix,USA,elizabeth.thomas258@example.com,"$52,851.76",204.95,Bronze
CUST-00322,Joseph Thomas,female,43.0,2023-04-01,San Diego,USA,joseph.thomas322@example.com,"$55,054.12",256.96,SILVER
CUST-00333,Jessica Rodriguez,Non-binary,28.0,09/23/2023,dallas,USA,jessica.rodriguez333@example.com,"$66,179.17",265.88,Gold
CUST-01833,Michael Hernandez,MALE,51.0,06/02/2023,  Chicago  ,Canada,michael.hernandez1833@example.com,"$59,185.08",39.19,BRONZE
CUST-00738,Michael Rodriguez,other,51.0,"January 16, 2022",PHILADELPHIA,Canada,michael.rodriguez738@example.com,"$31,834.89",124.32,BRONZE
CUST-01010,Betty Jackson,f ,29.0,11/10/2023,Austin,Canada,betty.jackson1010@example.com,"$60,763.04",132.28,GOLD
 CUST-00832 ,David Thomas, Female,50.0,2021-11-11,AUSTIN,USA,david.thomas832@example.com,"$72,087.18",170.35,BRONZE
2222,Matthew Moore,f ,,14-Oct-2022,Chicago,United Kingdom,matthew.moore2222@example.com,"$66,111.06",111.28,Gold
CUST-01485,Sarah Jones,FEMALE,31.0,23/03/2023,  Chicago  ,Australia,,"$91,312.07",200.29,silver
CUST-00715,Joseph Jones, Female,26.0,18/06/2022,Houston,Canada,joseph.jones715@example.com,"$62,401.88",8.43,Bronze
 CUST-02703 ,Betty Moore,MALE,39.0,,Dallas,Australia,betty.moore2703@example.com,"$72,042.17",29.16,BRONZE
CUST-01591,Jennifer Martinez,male,46.0,22/08/2022,los angeles,USA,jennifer.martinez1591@example.com,"$20,050.70",288.29,Bronze
CUST-02204,Susan Smith,Male,42.0,15-Jan-2023,chicago,United Kingdom,susan.smith2204@example.com,"$44,327.48",122.71,
 CUST-00771 ,Richard Anderson,FEMALE,30.0,16/07/2022,San Antonio,Canada,richard.anderson771@example.com,"$61,908.47",182.16,BRONZE
CUST-01877,Thomas Lopez,male,49.0,07/18/2022,Chicago,Canada,thomas.lopez@@example..com,"$59,529.08",39.53,bronze
 CUST-01303 ,John Rodriguez,f ,,23/01/2021,Dallas,Australia,john.rodriguez1303@example.com,"$92,500.96",68.79,gold
CUST-01295,Joseph Martinez, Male,51.0,"February 04, 2023",  Dallas  ,Australia,joseph.martinez1295@example.com,"$62,263.38",239.87,gold
CUST-00250,James Martinez, Male,23.0,2024-01-28,Houston,United Kingdom,james.martinez250@example.com,"$60,430.90",274.35,gold
1192,William Davis,m ,31.0,"May 27, 2022",AUSTIN,Australia,william.davis1192@example.com,,189.05,silver
CUST-02058,Daniel Brown,M,50.0,"May 03, 2023",New York,Australia,daniel.brown2058@example.com,"$78,770.29",142.24,silver
2219,William Hernandez,f ,34.0,12/06/2021,New York,United Kingdom,william.hernandez2219@example.com,"$41,682.72",,GOLD
CUST-01195,Karen Martinez, Female,54.0,31/01/2024,San Antonio,Australia,karen.martinez1195@example.com,"$76,816.02",143.8,
 CUST-00412 ,Robert Taylor,female,28.0,2021-07-12,Los Angeles,USA,robert.taylor412@example.com,"$87,315.11",93.83,bronze
CUST-02077,Betty Martin,F,47.0,"October 13, 2021",Phoenix,USA,betty.martin2077@example.com,"$95,654.38",154.43,BRONZE
CUST-00109,Joseph Jones,female,44.0,"August 04, 2022",LOS ANGELES,USA,joseph.jones109@example.com,"$83,012.25",221.85,gold
 CUST-02184 ,Nancy Hernandez,F,51.0,25/07/2023,San Antonio,Australia,nancy.hernandez2184@example.com,"$77,053.66",121.63,gold
CUST-00423,Robert Taylor,male,46.0,,san diego,Canada,robert.taylor423@example.com,"$31,969.16",72.47,Gold
CUST-00934,Thomas Williams,Male,16.0,21-Jul-2021,SAN DIEGO,Australia,thomas.williams934@example.com,"$86,640.00",210.16,
CUST-00088,Michael Martin,F,22.0,2022-01-30,NEW YORK,Canada,michael.martin88@example.com,"$14,591.68",330.57,Gold
992,James Anderson,Female,49.0,18/03/2022,Los Angeles,USA,james.anderson992@example.com,"$51,077.61",70.71,
 CUST-00340 ,Jessica Rodriguez,F,25.0,2022-11-06,AUSTIN,USA,jessica.rodriguez340@example.com,"$88,922.66",136.85,
 CUST-00990 ,Charles Anderson,m ,39.0,2021-04-12,New York,Canada,charles.anderson990@example.com,"$22,330.43",177.51,GOLD
CUST-02640,Patricia Jackson,MALE,26.0,25-Aug-2023,New York,USA,patricia.jackson2640@example.com,"$58,404.78",157.21,
CUST-01298,Joseph Hernandez,m ,42.0,,PHOENIX,Australia,joseph.hernandez1298@example.com,"$65,218.94",166.63,Silver
CUST-01373,Michael Lopez,Non-binary,28.0,14/04/2023,Phoenix,USA,michael.lopez1373@example.com,"$95,931.40",-177.97,BRONZE
CUST-01306,Joseph Johnson, Female,49.0,11/02/2023,San Diego,Canada,joseph.johnson1306@example.com,"$56,832.90",189.9,bronze
CUST-02969,Thomas Miller, Male,34.0,11-May-2021,phoenix,United Kingdom,,"$69,254.57",143.8,silver
CUST-00868,Lisa Anderson,female,63.0,21-Aug-2023,Philadelphia,United Kingdom,lisa.anderson868@example.com,"$39,476.24",100.77,BRONZE
CUST-02146,David Martin,F,-5.0,31/10/2023,  Chicago  ,Australia,david.martin2146@example.com,"$39,725.58",106.73,BRONZE
1397,Elizabeth Garcia,Female,35.0,25-Nov-2023,  Dallas  ,United Kingdom,elizabeth.garcia1397@example.com,"$59,288.38",166.33,
2202,Elizabeth Thomas,O,35.0,05/21/2022,Dallas,United Kingdom,elizabeth.thomas2202@example.com,"$81,882.44",40.25,gold
1913,Daniel Martin,f ,41.0,27/04/2023,Austin,Australia,daniel.martin1913@example.com,"$87,277.36",114.62,gold
2872,Elizabeth Thomas,Male,23.0,"June 24, 2023",  Houston  ,USA,elizabeth.thomas2872@example.com,"$68,025.99",27.66,Gold
CUST-01099,Joseph Gonzalez,M,16.0,"December 07, 2022",PHOENIX,Australia,joseph.gonzalez1099@example.com,"$50,312.38",161.33,SILVER
CUST-01123,Matthew Miller,m ,20.0,"May 15, 2024",san antonio,USA,matthew.miller1123@example.com,"$92,244.23",253.78,SILVER
1622,Robert Anderson,MALE,16.0,,Phoenix,Canada,robert.anderson1622@example.com,"$47,297.16",172.57,SILVER
CUST-02160,William Miller,m ,47.0,07-Oct-2023,Austin,Canada,william.miller2160@example.com,"$40,929.02",154.97,BRONZE
CUST-02296,Nancy Smith,M,,09/16/2022,Austin,USA,nancy.smith2296@example.com,"$-15,000.00",141.58,silver
 CUST-02255 ,Linda Brown, Male,,02/09/2022,Austin,USA,linda.brown2255@example.com,"$58,505.44",267.74,silver
CUST-02502,Karen Rodriguez,M,52.0,2024-07-21,Chicago,USA,karen.rodriguez2502@example.com,"$88,754.37",276.53,gold
 CUST-01770 ,Thomas Moore,Female,23.0,10-Apr-2023,  Houston  ,Canada,thomas.moore1770@example.com,"$38,450.00",120.02,GOLD
CUST-02646,Susan Lopez, Female,43.0,11/01/2023,Houston,United Kingdom,susan.lopez2646@example.com,"$78,176.61",160.68,Gold
CUST-02783,William Martinez,MALE,18.0,03/23/2022,SAN ANTONIO,USA,william.martinez2783@example.com,"$56,648.70",200.99,
1819,Jessica Rodriguez,F,53.0,2022-03-09,New York,United Kingdom,jessica.rodriguez1819@example.com,"$26,125.12",140.05,bronze
CUST-02862,Michael Brown, Female,16.0,,  Dallas  ,Australia,,"$79,573.94",-239.21,silver
CUST-01255,William Wilson,male,49.0,"September 06, 2021",Austin,USA,william.wilson1255@example.com,"$54,987.05",155.44,Silver
CUST-02955,Patricia Garcia,M,30.0,08/12/2021,los angeles,United Kingdom,patricia.garcia2955@example.com,"$38,054.03",294.24,SILVER
720,Nancy Thomas,Non-binary,44.0,2024-12-17,New York,Canada,nancy.thomas720@example.com,"$57,847.53",79.88,silver
CUST-00839,William Wilson,m ,30.0,03/08/2021,Phoenix,Canada,william.wilson839@example.com,"$57,549.69",69.47,GOLD
CUST-02988,Betty Garcia,FEMALE,23.0,"May 09, 2021",  New York  ,Australia,betty.garcia2988@example.com,"$73,357.14",73.61,silver
CUST-01808,Karen Smith,Female,39.0,2023-08-18,  New York  ,Australia,karen.smith1808@example.com,"$28,810.42",120.93,gold
CUST-00723,Jennifer Thomas,male,38.0,20/10/2021,Houston,United Kingdom,jennifer.thomas723@example.com,"$58,877.37",319.94,bronze
CUST-01814,Robert Martinez,MALE,39.0,09-Sep-2024,  New York  ,Australia,robert.martinez1814@example.com,"$64,007.96",57.78,bronze
CUST-00176,Karen Martinez,m ,43.0,09/05/2023,Philadelphia,Canada,karen.martinez176@example.com,"$74,407.42",222.35,SILVER
 CUST-01784 ,Richard Wilson,male,53.0,"February 13, 2022",Phoenix,United Kingdom,richard.wilson1784@example.com,"$114,902.84",130.76,Bronze
 CUST-00210 ,Joseph Taylor,Other,,"September 11, 2024",New York,USA,joseph.taylor210@example.com,"$65,087.06",,SILVER
CUST-02273,Robert Garcia, Female,72.0,2023-03-12,Chicago,USA,robert.garcia2273@example.com,"$49,180.32",110.21,BRONZE
CUST-00432,Susan Johnson,Other,44.0,01-May-2024,  Philadelphia  ,Canada,susan.johnson432@example.com,"$47,302.22",174.16,SILVER
 CUST-01136 ,Thomas Jackson,Female,20.0,09/02/2022,Austin,Australia,thomas.jackson1136@example.com,"$28,164.20",113.16,silver
 CUST-01832 ,Susan Wilson,male,36.0,2021-01-01,LOS ANGELES,Canada,susan.wilson1832@example.com,"$53,468.69",10.96,SILVER
 CUST-02604 ,Mary Davis,Male,30.0,02-Feb-2021,Phoenix,United Kingdom,mary.davis2604@example.com,"$36,031.80",156.89,SILVER
CUST-01066,Lisa Garcia,male,29.0,"July 16, 2024",New York,USA,lisa.garcia1066@example.com,"$54,559.59",183.75,Silver
 CUST-01987 ,Jennifer Gonzalez,female,40.0,2022-04-02,New York,United Kingdom,jennifer.gonzalez1987@example.com,"$60,980.18",264.51,bronze
226,Jessica Anderson,M,34.0,08/20/2024,  New York  ,Canada,jessica.anderson226@example.com,"$58,342.72",,bronze
1574,Linda Smith,male,47.0,23-Jan-2024,Chicago,Australia,,"$57,552.71",68.08,SILVER
 CUST-00071 ,Sarah Taylor,M,16.0,2023-04-29,houston,Australia,sarah.taylor71@example.com,"$58,533.50",66.29,SILVER
CUST-02436,Richard Rodriguez,F,38.0,2024-06-19,Philadelphia,USA,richard.rodriguez2436@example.com,"$49,547.68",91.71,silver
CUST-02972,Matthew Martin,female,54.0,05-Aug-2024,CHICAGO,Canada,matthew.martin2972@example.com,"$51,744.06",116.4,gold
 CUST-02130 ,Daniel Johnson,F,22.0,12/08/2024,phoenix,USA,daniel.johnson2130@example.com,"$41,564.27",141.6,bronze
 CUST-00006 ,David Anderson,m ,58.0,05/10/2024,Dallas,Canada,david.anderson6@example.com,"$40,860.04",31.44,SILVER
 CUST-02491 ,Karen Moore,O,35.0,08-Dec-2024,San Diego,USA,karen.moore2491@example.com,"$28,696.97",250.46,bronze
CUST-01085,James Jackson,Female,32.0,2023-07-25,  New York  ,United Kingdom,james.jackson1085@example.com,"$33,655.36",47.99,
CUST-00895,Matthew Wilson,Female,42.0,01/11/2021,CHICAGO,Canada,matthew.wilson895@example.com,"$70,153.10",240.15,bronze
CUST-01905,Linda Smith,F,29.0,16-Jan-2022,Phoenix,United Kingdom,linda.smith1905@example.com,"$60,039.27",13.33,
CUST-02678,Betty Williams,Male,31.0,20-Jan-2022,Houston,United Kingdom,betty.williams2678@example.com,"$61,558.88",303.64,Gold
1375,Robert Rodriguez,female,18.0,"July 02, 2022",los angeles,Canada,robert.rodriguez1375@example.com,"$41,227.00",300.6,gold
CUST-02932,Michael Anderson, Male,16.0,03/02/2022,HOUSTON,USA,michael.anderson2932@example.com,"$84,294.49",197.13,Gold
CUST-01096,Richard Johnson, Male,51.0,2021-02-25,SAN DIEGO,USA,richard.johnson1096@example.com,"$71,607.27",118.17,BRONZE
 CUST-00906 ,Jessica Wilson,Female,51.0,12-May-2023,  New York  ,United Kingdom,jessica.wilson906@example.com,"$93,167.12",226.15,GOLD
CUST-00981,Sarah Moore,,36.0,22-Jun-2022,san antonio,United Kingdom,sarah.moore981@example.com,"$63,702.11",333.54,GOLD
CUST-00022,John Gonzalez,male,37.0,09/28/2024,PHOENIX,Canada,john.gonzalez22@example.com,"$35,147.98",117.04,SILVER
CUST-02203,Daniel Anderson,Male,36.0,2023-06-05,CHICAGO,Australia,daniel.anderson2203@example.com,"$53,917.74",161.53,GOLD
 CUST-02304 ,Charles Rodriguez,FEMALE,20.0,2023-05-07,Los Angeles,United Kingdom,,"$66,039.19",27.97,bronze
 CUST-02851 ,Robert Johnson, Male,39.0,"June 29, 2022",Philadelphia,Canada,robert.johnson2851@example.com,"$73,994.22",213.78,silver
CUST-01206,Robert Martinez,female,43.0,22-Sep-2021,San Diego,Canada,robert.martinez1206@example.com,"$63,278.86",132.02,GOLD
CUST-02478,David Martin,Female,150.0,10-Aug-2024,Dallas,Canada,david.martin2478@example.com,"$79,269.16",5.65,Gold
CUST-01859,Patricia Anderson,Male,55.0,03/31/2022,Philadelphia,United Kingdom,patricia.anderson1859@example.com,"$64,441.96",111.05,Bronze
1641,Sarah Miller, Male,37.0,07/07/2022,Chicago,Australia,sarah.miller1641@example.com,"$67,796.38",120.08,Bronze
 CUST-00153 ,Matthew Wilson,f ,75.0,02/14/2022,San Antonio,Canada,matthew.wilson153@example.com,"$56,297.19",-270.02,bronze
 CUST-00283 ,Jennifer Lopez,Male,66.0,05-Jan-2022,san diego,United Kingdom,jennifer.lopez283@example.com,"$68,833.62",188.43,Gold
151,Michael Jones,MALE,56.0,"August 12, 2021",Dallas,United Kingdom,michael.jones151@example.com,"$48,208.07",191.84,Silver
CUST-02888,John Smith,female,45.0,02/08/2023,  San Diego  ,Canada,john.smith2888@example.com,"$63,803.37",34.84,gold
CUST-02102,Joseph Smith, Female,34.0,02-Nov-2022,Austin,Australia,joseph.smith2102@example.com,"$78,814.56",27.48,Gold
CUST-01848,Karen Wilson,Female,35.0,18/10/2024,chicago,USA,karen.wilson1848@example.com,"$53,599.39",142.5,Bronze
CUST-01851,Betty Martin,M,34.0,17/05/2024,San Diego,Canada,betty.martin1851@example.com,"$44,050.94",24.38,SILVER
 CUST-01289 ,Mary Jackson,Female,39.0,"May 10, 2023",Austin,Australia,mary.jackson1289@example.com,"$79,222.66",200.71,
CUST-02081,Michael Hernandez,Female,29.0,29-Sep-2021,New York,Canada,michael.hernandez2081@example.com,"$36,145.64",122.98,Gold
CUST-00399,Elizabeth Rodriguez,m ,17.0,05/27/2022,  San Antonio  ,Canada,elizabeth.rodriguez399@example.com,"$28,710.75",89.03,gold
 CUST-02286 ,Susan Jackson,female,28.0,11/11/2022,Dallas,Canada,susan.jackson2286@example.com,"$36,228.45",142.46,GOLD
CUST-01147,Richard Moore,f ,34.0,"December 16, 2024",Chicago,Canada,richard.moore1147@example.com,"$40,880.02",307.93,
 CUST-02916 ,Karen Martinez,m ,32.0,2022-08-28,Houston,Canada,karen.martinez2916@example.com,"$76,243.49",124.35,Gold
 CUST-01287 ,Jessica Smith,m ,67.0,"March 29, 2022",San Diego,Canada,jessica.smith1287@example.com,"$69,149.65",184.32,GOLD
 CUST-01943 ,Joseph Gonzalez, Female,58.0,09/21/2023,Austin,Australia,joseph.gonzalez@@example..com,"$53,645.99",92.26,Gold
CUST-00544,John Jackson, Female,51.0,,AUSTIN,Canada,john.jackson544@example.com,"$55,709.83",68.91,Bronze
CUST-01958,Richard Williams,FEMALE,38.0,26-Feb-2024,Chicago,Australia,richard.williams1958@example.com,"$39,395.83",87.56,Bronze
2282,Charles Smith,f ,26.0,09/30/2023,austin,United Kingdom,charles.smith2282@example.com,"$75,223.23",62.09,
CUST-00255,David Wilson,male,34.0,03/06/2023,AUSTIN,United Kingdom,,"$65,279.52",155.54,BRONZE
CUST-01547,William Wilson,FEMALE,59.0,2022-05-26,  San Antonio  ,United Kingdom,william.wilson1547@example.com,"$71,047.33",8.03,silver
CUST-02555,Jessica Taylor,Female,44.0,2023-10-06,NEW YORK,United Kingdom,jessica.taylor2555@example.com,"$15,238.51",154.91,bronze
1331,Robert Johnson,m ,22.0,06/20/2024,Austin,United Kingdom,robert.johnson1331@example.com,"$51,107.21",135.03,Gold
 CUST-02626 ,Nancy Garcia, Male,36.0,19-Feb-2022,PHILADELPHIA,Canada,nancy.garcia2626@example.com,"$60,484.63",164.9,gold
CUST-02762,Thomas Hernandez,Male,24.0,02/08/2024,Phoenix,Canada,thomas.hernandez2762@example.com,"$53,287.47",158.09,Silver
